airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Pakistan International Airlines,2019-06-21,Peshawar,Sukkur,10:20:00,11:50:00,90,0.0,In-flight meal not included,4995
AIR Blue,2019-05-18,Islamabad,Rahim Yar Khan,09:00:00,07:40:00,1360,1.0,No Info,8372
AIR Blue,2019-06-12,Quetta,Lahore,09:10:00,11:05:00,1555,2.0,No Info,6117
Pearl Air,2019-04-01,Quetta,Lahore,20:20:00,22:55:00,1595,1.0,No Info,7770
Pearl Air,2019-06-06,Quetta,Lahore,17:00:00,10:45:00,1065,1.0,No Info,9187
Pakistan International Airlines,2019-06-24,Lahore,Quetta,07:10:00,10:10:00,180,0.0,No Info,8016
Shaheen Airline,2019-05-21,Lahore,Quetta,00:30:00,03:25:00,175,0.0,No Info,3419
Pakistan International Airlines,2019-06-12,Quetta,Lahore,16:30:00,04:40:00,730,1.0,No Info,12471
Pakistan International Airlines,2019-06-09,Islamabad,Rahim Yar Khan,21:50:00,04:25:00,395,1.0,In-flight meal not included,10262
Pakistan International Airlines,2019-03-06,Lahore,Peshawar,22:50:00,09:30:00,640,1.0,No Info,17261
Askari Air lines,2019-05-18,Quetta,Lahore,11:35:00,18:50:00,435,1.0,No Info,8479
Shaheen Airline,2019-03-03,Lahore,Peshawar,07:10:00,10:05:00,175,0.0,No Info,7648
Pakistan International Airlines,2019-03-06,Islamabad,Rahim Yar Khan,11:30:00,04:25:00,1015,1.0,No Info,15764
Serene Air,2019-05-21,Islamabad,Rahim Yar Khan,08:00:00,21:00:00,780,1.0,No Info,14277
Pakistan International Airlines,2019-06-09,Islamabad,Rahim Yar Khan,17:30:00,12:35:00,1145,1.0,In-flight meal not included,10262
Princely Jets,2019-05-09,Quetta,Lahore,22:40:00,10:40:00,720,1.0,No Info,5192
Askari Air lines,2019-03-24,Quetta,Lahore,22:20:00,00:40:00,140,0.0,No Info,5831
Princely Jets,2019-04-01,Quetta,Lahore,06:50:00,10:30:00,220,1.0,No Info,5162
Shaheen Airline,2019-04-15,Islamabad,Rahim Yar Khan,07:35:00,16:10:00,515,1.0,No Info,6442
Serene Air,2019-05-09,Islamabad,Rahim Yar Khan,10:00:00,19:15:00,555,1.0,No Info,14323
Pakistan International Airlines,2019-03-18,Lahore,Peshawar,22:50:00,20:20:00,1290,1.0,In-flight meal not included,11087
Pakistan International Airlines,2019-05-18,Islamabad,Rahim Yar Khan,22:50:00,19:00:00,1210,1.0,No Info,15554
Pakistan International Airlines,2019-05-21,Islamabad,Rahim Yar Khan,05:30:00,12:35:00,425,2.0,No Info,16274
AIR Blue,2019-04-01,Quetta,Lahore,10:00:00,10:30:00,1470,3.0,No Info,12954
Shaheen Airline,2019-06-03,Lahore,Quetta,01:30:00,04:15:00,165,0.0,No Info,3943
Pakistan International Airlines,2019-06-24,Islamabad,Rahim Yar Khan,13:00:00,04:25:00,925,1.0,In-flight meal not included,10262
Pakistan International Airlines,2019-05-06,Lahore,Quetta,17:45:00,20:45:00,180,0.0,In-flight meal not included,4030
AIR Blue,2019-05-18,Quetta,Lahore,08:20:00,07:55:00,1415,2.0,No Info,10697
Pakistan International Airlines,2019-06-15,Islamabad,Rahim Yar Khan,19:30:00,12:35:00,1025,2.0,In-flight meal not included,10368
Shaheen Airline,2019-04-03,Islamabad,Rahim Yar Khan,21:05:00,00:20:00,195,0.0,No Info,5021
Pearl Air,2019-05-06,Quetta,Lahore,20:20:00,20:20:00,1440,1.0,No Info,8610
Shaheen Airline,2019-05-24,Quetta,Lahore,14:25:00,16:55:00,150,0.0,No Info,5224
AIR Blue,2019-06-06,Islamabad,Rahim Yar Khan,06:50:00,07:40:00,1490,2.0,No Info,13381
Shaheen Airline,2019-05-27,Islamabad,Rahim Yar Khan,09:15:00,01:30:00,975,1.0,No Info,6628
Shaheen Airline,2019-06-01,Faisalabad,Islamabad,05:15:00,07:40:00,145,0.0,No Info,3540
Pakistan International Airlines,2019-05-21,Quetta,Lahore,08:25:00,20:45:00,740,1.0,In-flight meal not included,10844
Pakistan International Airlines,2019-04-09,Lahore,Quetta,11:10:00,14:05:00,175,0.0,No Info,7229
AIR Blue,2019-05-12,Quetta,Lahore,16:45:00,08:55:00,970,2.0,No Info,13437
Pakistan International Airlines,2019-06-18,Peshawar,Sukkur,19:35:00,21:05:00,90,0.0,No Info,5678
Pakistan International Airlines,2019-03-01,Lahore,Peshawar,08:00:00,08:15:00,1455,1.0,No Info,22270
Pakistan International Airlines,2019-03-18,Lahore,Peshawar,14:05:00,21:20:00,435,1.0,No Info,16946
AIR Blue,2019-05-06,Peshawar,Sukkur,06:20:00,07:40:00,80,0.0,No Info,3625
Shaheen Airline,2019-06-12,Islamabad,Rahim Yar Khan,08:35:00,16:10:00,455,1.0,No Info,6442
Pakistan International Airlines,2019-05-21,Quetta,Lahore,21:10:00,09:20:00,730,1.0,In-flight meal not included,10844
Askari Air lines,2019-04-12,Quetta,Lahore,09:00:00,11:25:00,145,0.0,No Info,3873
Pakistan International Airlines,2019-06-09,Lahore,Quetta,18:55:00,22:00:00,185,0.0,No Info,8016
Pakistan International Airlines,2019-04-01,Quetta,Lahore,21:10:00,09:20:00,730,1.0,In-flight meal not included,8849
Star Air Aviation,2019-06-03,Islamabad,Rahim Yar Khan,07:00:00,12:55:00,355,1.0,No Info,4959
Pakistan International Airlines,2019-06-18,Lahore,Quetta,11:10:00,14:05:00,175,0.0,In-flight meal not included,5769
Pearl Air,2019-06-06,Quetta,Lahore,17:00:00,23:25:00,385,1.0,No Info,8610
Shaheen Airline,2019-03-27,Islamabad,Rahim Yar Khan,07:30:00,15:30:00,480,1.0,No Info,8574
Shaheen Airline,2019-06-15,Islamabad,Rahim Yar Khan,05:05:00,16:10:00,665,1.0,No Info,6818
Shaheen Airline,2019-05-09,Peshawar,Sukkur,19:05:00,20:35:00,90,0.0,No Info,4392
AIR Blue,2019-05-15,Islamabad,Rahim Yar Khan,18:05:00,21:10:00,185,0.0,No Info,6094
AIR Blue,2019-03-24,Lahore,Peshawar,17:00:00,22:55:00,1795,2.0,No Info,8114
AIR Blue,2019-04-01,Lahore,Quetta,13:20:00,16:10:00,170,0.0,No Info,5911
Pakistan International Airlines,2019-06-01,Islamabad,Rahim Yar Khan,20:00:00,04:25:00,505,2.0,In-flight meal not included,15318
